_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
499,ANNIE,Street,,COOPERS PLAINS
500,ANNIE,Street,,HAMILTON
501,ANNIE,Street,,KANGAROO POINT
502,ANNIE,Street,,MCDOWALL
503,ANNIE,Street,,NEW FARM
504,ANNIE,Street,,PADDINGTON
505,ANNIE,Street,,ROCKLEA
506,ANNIE,Street,,WINDSOR
507,ANNIE,Street,,WOOLLOONGABBA
508,ANSDELL,Street,,MOUNT GRAVATT
509,ANSFORD,Street,,STAFFORD HEIGHTS
510,ANSON,Street,,MOOROOKA
511,ANSTEAD,Place,,MOUNT CROSBY
512,ANSTEY,Street,,ALBION
513,ANTHONY,Street,,ASCOT
514,ANTHONY,Street,,HAMILTON
515,ANTHONY,Street,,WEST END
516,ANTILL,Street,,WILSTON
517,ANTILL,Street,,WINDSOR
518,ANTON,Road,,HEMMANT
519,ANTONIA,Street,,MOUNT GRAVATT EAST
520,ANTRIM,Street,,ACACIA RIDGE
521,ANTRIM,Street,,FORTITUDE VALLEY
522,ANZAC,Avenue,,SANDGATE
523,ANZAC,Lane,,MOOROOKA
524,ANZAC,Road,,CARINA
525,ANZAC,Road,,CARINA HEIGHTS
526,APANIE,Street,,MIDDLE PARK
527,APANIE,Street,,WESTLAKE
528,APERA,Court,,KENMORE
529,APERITIF,Place,,CARSELDINE
530,APEX,Street,,BALMORAL
531,APEX,Street,,CLAYFIELD
532,APHRODITE,Street,,MANLY WEST
533,APLEY,Court,,CARINDALE
534,APLIN,Street,,ACACIA RIDGE
535,APOLLO,Place,,BRIDGEMAN DOWNS
536,APOLLO,Road,,BULIMBA
537,APPEL,Place,,KENMORE HILLS
538,APPEL,Street,,CHELMER
539,APPEL,Street,,GRACEVILLE
540,APPEL,Street,,HIGHGATE HILL
541,APPERLEY,Street,,BANYO
542,APPIA,Avenue,,SEVEN HILLS
543,APPIN,Street,,KENMORE
544,APPLE BLOSSOM,Place,,EIGHT MILE PLAINS
545,APPLE GUM,Place,,FITZGIBBON
546,APPLEBY,Road,,STAFFORD
547,APPLEBY,Road,,STAFFORD HEIGHTS
548,APPLEBY,Street,,CALAMVALE
549,APPLEBY,Street,,PARKINSON
550,APPLECROSS,Place,,PALLARA
551,APPLEDORE,Street,,BRACKEN RIDGE
552,APPLEGUM,Street,,ANSTEAD
553,APPLETON,Street,,CARINDALE
554,APPLEYARD,Crescent,,COOPERS PLAINS
555,APPOLINE,Street,,OXLEY
556,APPROACH,Road,,BANYO
557,APRICOT,Street,,INALA
558,APRIL,Crescent,,BRIDGEMAN DOWNS
559,APSLEY,Crescent,,PARKINSON
560,APULIA,Place,,BRIDGEMAN DOWNS
561,APUNYA,Close,,RIVERHILLS
562,APURLA,Court,,KARANA DOWNS
563,APUS,Street,,INALA
